JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration,row_num
1,64,18,10-Jun-24,Checkout,Drop-off,,1
2,94,11,09-Jul-25,Checkout,Drop-off,,1
4,33,18,28-May-25,Checkout,Drop-off,,1
11,23,12,22-Aug-23,Checkout,Drop-off,,1
21,58,20,07-Mar-24,Checkout,Drop-off,,1
24,77,6,25-Jun-25,Checkout,Drop-off,,1
32,67,11,04-Sep-23,Checkout,Drop-off,,1
37,38,17,18-Jun-24,Checkout,Drop-off,,1
47,30,20,18-Feb-24,Checkout,Drop-off,,1
52,15,9,07-Aug-25,Checkout,Drop-off,,1
54,9,11,19-Nov-24,Checkout,Drop-off,,1
55,1,7,17-Mar-24,Checkout,Drop-off,,1
71,40,20,13-Jul-23,Checkout,Drop-off,,1
93,43,8,22-Aug-23,Checkout,Drop-off,,1
103,7,11,06-Dec-25,Checkout,Drop-off,,1
109,65,7,14-Aug-25,Checkout,Drop-off,,1
113,79,18,15-Dec-25,Checkout,Drop-off,,1
125,67,19,07-Jun-25,Checkout,Drop-off,,1
140,11,12,26-Jan-24,Checkout,Drop-off,,1
152,85,5,02-Jul-24,Checkout,Drop-off,,1
156,26,3,18-Oct-24,Checkout,Drop-off,,1
176,80,6,12-May-23,Checkout,Drop-off,,1
181,44,20,19-May-25,Checkout,Drop-off,,1
187,51,14,22-Sep-25,Checkout,Drop-off,,1
189,57,8,20-Aug-23,Checkout,Drop-off,,1
201,75,10,25-Apr-25,Checkout,Drop-off,,1
210,63,7,07-Sep-23,Checkout,Drop-off,,1
215,71,7,08-Jun-24,Checkout,Drop-off,,1
216,33,6,05-Jan-23,Checkout,Drop-off,,1
224,84,10,21-Mar-25,Checkout,Drop-off,,1
232,81,2,28-Jun-25,Checkout,Drop-off,,1
239,60,13,28-Apr-24,Checkout,Drop-off,,1
267,6,7,17-Apr-25,Checkout,Drop-off,,1
271,20,4,19-Aug-25,Checkout,Drop-off,,1
272,17,10,03-Aug-23,Checkout,Drop-off,,1
273,87,1,22-Mar-25,Checkout,Drop-off,,1
274,95,19,28-Sep-23,Checkout,Drop-off,,1
275,88,13,05-Nov-23,Checkout,Drop-off,,1
276,27,19,22-Nov-23,Checkout,Drop-off,,1
279,97,1,25-Feb-25,Checkout,Drop-off,,1
287,100,13,12-Jan-23,Checkout,Drop-off,,1
290,49,20,13-Apr-23,Checkout,Drop-off,,1
296,50,4,14-Oct-24,Checkout,Drop-off,,1
300,91,16,20-Sep-23,Checkout,Drop-off,,1
302,14,10,16-Aug-23,Checkout,Drop-off,,1
320,94,8,29-Nov-25,Checkout,Drop-off,,1
321,10,3,24-Nov-24,Checkout,Drop-off,,1
325,47,7,31-Jan-23,Checkout,Drop-off,,1
343,50,12,07-Jul-25,Checkout,Drop-off,,1
345,27,6,22-Dec-24,Checkout,Drop-off,,1
365,6,5,04-Jun-23,Checkout,Drop-off,,1
366,37,2,08-Sep-25,Checkout,Drop-off,,1
379,92,15,25-Nov-24,Checkout,Drop-off,,1
380,1,11,29-May-23,Checkout,Drop-off,,1
384,2,12,24-Sep-24,Checkout,Drop-off,,1
387,22,4,19-Dec-24,Checkout,Drop-off,,1
390,74,7,16-Jul-23,Checkout,Drop-off,,1
391,74,13,20-Apr-25,Checkout,Drop-off,,1
418,97,8,04-May-24,Checkout,Drop-off,,1
419,52,7,06-Nov-23,Checkout,Drop-off,,1
443,98,5,04-Sep-23,Checkout,Drop-off,,1
452,86,4,07-Oct-24,Checkout,Drop-off,,1
456,93,20,09-Sep-23,Checkout,Drop-off,,1
487,35,19,07-May-23,Checkout,Drop-off,,1
488,72,16,21-Aug-23,Checkout,Drop-off,,1
491,77,19,14-May-23,Checkout,Drop-off,,1
493,32,7,23-Apr-24,Checkout,Drop-off,,1
494,29,6,27-Oct-24,Checkout,Drop-off,,1
495,43,2,04-Feb-23,Checkout,Drop-off,,1
498,33,20,21-Sep-24,Checkout,Drop-off,,1
510,14,14,21-Dec-23,Checkout,Drop-off,,1
516,14,15,26-Sep-23,Checkout,Drop-off,,1
520,42,16,13-Jul-25,Checkout,Drop-off,,1
521,12,13,25-Mar-24,Checkout,Drop-off,,1
526,87,9,17-May-25,Checkout,Drop-off,,1
543,7,7,26-Jun-24,Checkout,Drop-off,,1
550,77,14,14-Jun-25,Checkout,Drop-off,,1
557,8,12,16-Jul-25,Checkout,Drop-off,,1
558,42,17,31-Mar-24,Checkout,Drop-off,,1
559,88,7,11-Dec-25,Checkout,Drop-off,,1
573,50,13,19-May-24,Checkout,Drop-off,,1
607,38,18,10-Dec-23,Checkout,Drop-off,,1
610,13,6,24-Feb-23,Checkout,Drop-off,,1
626,75,10,16-Sep-23,Checkout,Drop-off,,1
628,38,3,08-Feb-24,Checkout,Drop-off,,1
633,30,3,26-Feb-23,Checkout,Drop-off,,1
636,18,12,19-Jul-23,Checkout,Drop-off,,1
659,70,17,20-May-25,Checkout,Drop-off,,1
