EngagementID,ContentID,ContentType,Views,Clicks,Likes,EngagementDate,CampaignID,ProductID
15,16,SOCIAL MEDIA,36,1,0,20-Oct-25,6,19
18,12,VIDEO,321,15,0,26-Oct-24,19,8
20,35,BLOG,41,7,0,07-Oct-24,4,6
29,15,VIDEO,58,2,0,02-Aug-25,17,20
32,37,BLOG,441,9,0,04-Nov-25,19,16
54,40,BLOG,706,34,0,22-Sep-25,13,17
58,2,VIDEO,578,11,0,07-Nov-25,17,9
59,37,VIDEO,219,7,0,17-Jul-25,10,1
60,1,SOCIAL MEDIA,404,15,0,15-Oct-25,19,7
64,49,VIDEO,111,3,0,03-Dec-25,1,15
73,10,SOCIAL MEDIA,40,4,0,06-Apr-25,18,3
85,34,VIDEO,36,3,0,08-May-25,18,20
98,44,BLOG,231,10,0,20-Aug-25,11,8
107,20,BLOG,150,4,0,27-Jan-25,6,12
114,32,SOCIAL MEDIA,314,12,0,30-Jun-25,18,18
116,35,VIDEO,106,7,0,15-Mar-25,1,19
117,23,SOCIAL MEDIA,924,32,0,24-Sep-25,12,18
118,39,BLOG,191,3,0,04-Dec-25,17,7
123,15,BLOG,908,38,0,16-Dec-25,7,8
134,1,SOCIAL MEDIA,359,18,0,08-Sep-25,11,14
142,35,VIDEO,261,5,0,05-Nov-25,6,1
153,41,BLOG,392,5,0,15-Dec-25,6,16
171,46,VIDEO,79,2,0,05-Nov-25,1,19
184,27,BLOG,168,6,0,31-Aug-25,13,15
196,33,VIDEO,769,28,0,01-Dec-25,13,4
201,14,BLOG,786,21,0,27-Jun-25,1,5
211,15,SOCIAL MEDIA,632,17,0,24-Jun-25,12,1
214,3,SOCIAL MEDIA,423,20,0,20-May-25,16,1
222,12,BLOG,93,4,0,16-Aug-25,17,8
228,35,VIDEO,780,18,0,02-Nov-25,2,19
233,30,SOCIAL MEDIA,1063,20,0,05-Aug-25,1,11
240,34,VIDEO,801,38,0,23-Oct-25,20,1
249,47,VIDEO,194,12,0,21-Jun-25,10,11
